t, r_OP_x, r_OP_y, r_OP_z, ex_B_x, ex_B_y, ex_B_z, ey_B_x, ey_B_y, ey_B_z, ez_B_x, ez_B_y, ez_B_z, v_P_x, v_P_y, v_P_z, B_Omega_x, B_Omega_y, B_Omega_z
4.000000000000000222e-01, 2.104659999999999864e-02, -1.447984647429323701e-01, -1.333526411577131143e-01, 1.000000000000000000e+00, 1.749704838317162135e-24, -1.277378953927195582e-25, 1.299773068510497837e-24, -6.900115759429130691e-01, 7.237983317642955328e-01, 1.178292816546317189e-24, -7.237983317642955328e-01, -6.900115759429130691e-01, -7.224944245626301740e-22, -3.800615167127273653e-01, 3.963785306115738538e-01, -3.605494947912643688e+00, 2.906362311338950073e-23, 1.683266125449158893e-22
4.100000000000000311e-01, 2.104659999999999864e-02, -1.482825967403851586e-01, -1.296073363651863430e-01, 1.000000000000000000e+00, 1.239974417659117002e-23, -1.656593101596027443e-23, 2.062200325415467168e-23, -6.632654640734876317e-01, 7.483842089243871731e-01, -1.707837186647314896e-24, -7.483842089243871731e-01, -6.632654640734876317e-01, -1.359407541950564653e-21, -3.168163822938109275e-01, 3.527084399847046914e-01, -3.645195303287801281e+00, -2.838999571461294873e-23, 1.502457783841601822e-22
4.199999999999999845e-01, 2.104659999999999864e-02, -1.511350748701269509e-01, -1.263101388876282372e-01, 1.000000000000000000e+00, 1.749308488648255221e-23, -3.244144688219550512e-23, 3.616499982900065596e-23, -6.354918450984774481e-01, 7.721075798185981220e-01, -7.109731501567331571e-24, -7.721075798185981220e-01, -6.354918450984774481e-01, -1.989797733097230002e-22, -2.542498612467878338e-01, 3.060554115636128780e-01, -3.648017487984992702e+00, -1.590750460434968279e-22, -4.216105129953528241e-22
4.299999999999999933e-01, 2.104659999999999864e-02, -1.533635971816115495e-01, -1.234877942554734598e-01, 1.000000000000000000e+00, 1.832393281995366302e-23, -2.855837451816430139e-23, 3.381776490841673984e-23, -6.070729905077381083e-01, 7.946460748005942376e-01, -2.775976532496029158e-24, -7.946460748005942376e-01, -6.070729905077381083e-01, -2.961506012987513796e-22, -1.917491448102036367e-01, 2.576005427056569097e-01, -3.602637885177622845e+00, -3.433167685358138326e-22, -1.122220532481450100e-21
4.400000000000000022e-01, 2.104659999999999864e-02, -1.549691392231070108e-01, -1.211593108562591808e-01, 1.000000000000000000e+00, -4.190581780239032587e-24, 3.213745692719996413e-24, -5.045546269313530550e-24, -5.784471426631183633e-01, 8.157198680581919659e-01, -1.559358803663860734e-24, -8.157198680581919659e-01, -5.784471426631183633e-01, 2.656454009165764736e-21, -1.289419510897777121e-01, 2.083239798814962573e-01, -3.498752226110769303e+00, 9.763246639985629584e-23, 3.043011879312050732e-22
4.500000000000000111e-01, 2.104659999999999864e-02, -1.559449103073143605e-01, -1.193252153400828075e-01, 1.000000000000000000e+00, 1.567342733930826630e-24, -2.226388293768912597e-24, 2.721461629004337853e-24, -5.502215471777549549e-01, 8.350187117791536551e-01, 8.375369898736228506e-26, -8.350187117791536551e-01, -5.502215471777549549e-01, -1.475793729976892772e-21, -6.624130622594076589e-02, 1.584351607241486493e-01, -3.327840349226893313e+00, -3.647821814156925732e-23, 5.735474649760073635e-23
4.600000000000000200e-01, 2.104659999999999864e-02, -1.562955781801368682e-01, -1.179918007921620382e-01, 1.000000000000000000e+00, 5.542533386179606298e-26, 1.083184960438124957e-24, -8.941635042463706783e-25, -5.231152324824166477e-01, 8.522619629813751319e-01, 6.138674562369996329e-25, -8.522619629813751319e-01, -5.231152324824166477e-01, -8.332071042489342985e-21, -3.999075075316120900e-03, 1.081551287600843736e-01, -3.084124238626928971e+00, -1.665464664426881089e-22, 1.438098225656416265e-22
4.700000000000000289e-01, 2.104659999999999864e-02, -1.560284415072119013e-01, -1.171634689231850629e-01, 1.000000000000000000e+00, -5.017278166572570769e-25, -7.109586174998368508e-25, 3.667393312855975047e-25, -4.979199951216970454e-01, 8.672229692864511508e-01, -7.891103982923620550e-25, -8.672229692864511508e-01, -4.979199951216970454e-01, 4.922982683661362962e-21, 5.704841633949940538e-02, 5.741373072935235244e-02, -2.764466584948374717e+00, 1.121237814924267482e-22, -1.057537999161317516e-22
4.799999999999999822e-01, 2.104659999999999864e-02, -1.551606497669437423e-01, -1.168456215431402240e-01, 1.000000000000000000e+00, 1.585409307701434309e-24, -7.005325129610818972e-24, 6.916670937920442208e-24, -4.754481264008485475e-01, 8.797437576373720036e-01, -1.935914765951720314e-24, -8.797437576373720036e-01, -4.754481264008485475e-01, -1.348627236945292500e-21, 1.162433302552192682e-01, 6.147666555957803647e-03, -2.371071079939798487e+00, -7.316386371438061463e-24, -1.628381576730752991e-23
4.899999999999999911e-01, 2.104659999999999864e-02, -1.537125106919692841e-01, -1.170427231463402606e-01, 1.000000000000000000e+00, 1.172943025371942171e-25, -1.377995859407426980e-23, 1.231419412337384384e-23, -4.564572103812256643e-01, 8.897453653102047610e-01, -6.185599396960174380e-24, -8.897453653102047610e-01, -4.564572103812256643e-01, -6.304179326169617411e-21, 1.730792344738792676e-01, -4.565633175123030851e-02, -1.909641990867060102e+00, -1.410763051224237824e-22, -3.580245188792435095e-23
